Alain Bocquet,Contre,Absent,Absent,Absent
Alfred Marie-Jeanne,Contre,Absent,Absent,Absent
André Chassaigne,Contre,Contre,Contre,Contre
Bruno Nestor Azérot,Pour,Absent,Absent,Absent
François Asensi,Contre,Absent,Absent,Absent
Gabriel Serville,Abstention,Absent,Absent,Absent
Gaby Charroux,Contre,Absent,Absent,Absent
Huguette Bello,Contre,Absent,Absent,Absent
Jacqueline Fraysse,Contre,Absent,Contre,Contre
Jean-Jacques Candelier,Contre,Contre,Contre,Absent
Jean-Philippe Nilor,Contre,Absent,Absent,Absent
Marc Dolez,Abstention,Absent,Absent,Absent
Marie-George Buffet,Contre,Absent,Absent,Absent
Nicolas Sansu,Contre,Contre,Contre,Contre
Patrice Carvalho,Contre,Absent,Contre,Absent
"Groupe radical, républicain, démocrate et progressiste",Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 1
Alain Tourret,Pour,Absent,Abstention,Pour
Ary Chalus,Abstention,Absent,Absent,Absent
Dominique Orliac,Pour,Absent,Abstention,Absent
Gérard Charasse,Contre,Pour,Contre,Pour
Gilda Hobert,Pour,Absent,Pour,Absent
Jacques Krabal,Pour,Absent,Absent,Absent
Jacques Moignard,Pour,Absent,Absent,Absent
Jeanine Dubié,Pour,Absent,Absent,Absent
Jean-Noël Carpentier,Contre,Absent,Contre,Absent
Jean-Pierre Maggi,Contre,Absent,Absent,Absent
Jérôme Lambert,Contre,Absent,Contre,Absent
Joël Giraud,Pour,Absent,Abstention,Pour
Olivier Falorni,Contre,Absent,Abstention,Absent
Paul Giacobbi,Pour,Pour,Pour,Pour
Roger-Gérard Schwartzenberg,Abstention,Pour,Abstention,Pour
Stéphane Claireaux,Pour,Absent,Absent,Absent
Stéphane Saint-André,Pour,Absent,Pour,Absent
Thierry Robert,Abstention,Absent,Absent,Absent
Non inscrits,Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 1
Gilbert Collard,Contre,Absent,Contre,Absent
Gilles Bourdouleix,Contre,Absent,Absent,Absent
Jean Lassalle,Contre,Absent,Absent,Absent
Jean-Christophe Fromantin,Contre,Absent,Absent,Absent
Marion Maréchal-Le Pen,Contre,Absent,Contre,Absent
Nicolas Dupont-Aignan,Pour,Absent,Absent,Absent
Philippe Noguès,Contre,Contre,Contre,Contre
Sylvie Andrieux,Abstention,Absent,Absent,Absent
Thomas Thévenoud,Contre,Absent,Contre,Absent
Véronique Besse,Contre,Absent,Absent,Absent
